Description,Measure,Energy
ARCHWAY Home Style Cookies; Sugar Free Oatmeal,1.0 serving,106
Arrowhead; cooked; boiled; drained; with salt,1.0 corm; medium,9
Arrowhead; cooked; boiled; drained; without salt,1.0 medium,9
Arrowhead; raw,1.0 large,25
Arrowroot flour,1.0 cup,457
Arrowroot; raw,1.0 cup; sliced,78
Artichokes; (globe or french); cooked; boiled; drained; with salt,1.0 artichoke; medium,61
Artichokes; (globe or french); cooked; boiled; drained; without salt,1.0 artichoke; medium,64
Artichokes; (globe or french); frozen; cooked; boiled; drained; with salt,1.0 cup,76
Artichokes; (globe or french); frozen; cooked; boiled; drained; without salt,1.0 cup,76
Artichokes; (globe or french); frozen; unprepared,0.33 package,32
Artichokes; (globe or french); raw,1.0 artichoke; medium,60
Artificial Blueberry Muffin Mix; dry,1.0 muffin,126
Arugula; raw,1.0 leaf,0
Asparagus; canned; drained solids,1.0 cup,46
Asparagus; canned; no salt added; solids and liquids,0.5 cup,18
Asparagus; canned; regular pack; solids and liquids,0.5 cup,18
Asparagus; cooked; boiled; drained,0.5 cup,20
Asparagus; cooked; boiled; drained; with salt,0.5 cup,20
Asparagus; frozen; cooked; boiled; drained; with salt,1.0 cup,32
Asparagus; frozen; cooked; boiled; drained; without salt,1.0 cup,32
Asparagus; frozen; unprepared,4.0 spears,14
Asparagus; raw,1.0 cup,27
AUSTIN; Cheddar Cheese on Cheese Crackers; sandwich-type,1.0 package,193
AUSTIN; Cheddar Cheese on Cheese Crackers; sandwich-type; reduced fat,1.0 package,166
AUSTIN; Cheddar Cheese on Wafer Crackers; sandwich-type,1.0 package,191
AUSTIN; Cheddar Cheese on Wheat Crackers; sandwich-type,1.0 package,193
AUSTIN; Chocolatey Peanut Butter Crackers; sandwich-type,1.0 package,187
AUSTIN; Grilled Cheese on Wafer Crackers; sandwich-type,1.0 package,192
AUSTIN; PB  &  J Crackers; sandwich-type,1.0 package,189
AUSTIN; Peanut Butter on Cheese Crackers; sandwich-type,1.0 package,192
AUSTIN; Peanut Butter on Cheese Crackers; sandwich-type; reduced fat,1.0 package,166
AUSTIN; Peanut Butter on Toasty Crackers; sandwich-type,1.0 package,191
AUSTIN; Peanut Butter on Toasty Crackers; sandwich-type; reduced fat,1.0 package,167
Avocados; raw; all commercial varieties,1.0 cup; cubes,240
Avocados; raw; California,1.0 cup; pureed,384
Avocados; raw; Florida,1.0 cup; pureed,276
Baby food; fortified cereal bar; fruit filling,1.0 bar,65
Babyfood; apple yogurt dessert; strained,1.0 tbsp,14
Babyfood; apple-banana juice,1.0 fl oz,16
Babyfood; apple-cranberry juice,1.0 fl oz,14
Babyfood; apples with ham; strained,1.0 tbsp,9
Babyfood; apples; dices; toddler,1.0 oz,14
Babyfood; Baby MUM MUM Rice Biscuits,4.0 biscuit,31
Babyfood; baked product; finger snacks cereal,1.0 cookie,7
Babyfood; banana apple dessert; strained,1.0 tbsp,10
Babyfood; banana juice with low fat yogurt,1.0 fl oz,28
Babyfood; banana no tapioca; strained,1.0 tbsp,14
Babyfood; banana with mixed berries; strained,1.0 packet,91
Babyfood; beverage; GERBER GRADUATE FRUIT SPLASHERS,4.0 oz,35
Babyfood; carrots and beef; strained,1.0 tbsp,9
Babyfood; carrots; toddler,1.0 oz,7
Babyfood; cereal; barley; dry,1.0 tbsp,9
Babyfood; cereal; barley; prepared with whole milk,1.0 oz,24
Babyfood; cereal; brown rice; dry; instant,1.0 tbsp,15
Babyfood; cereal; egg yolks and bacon; junior,1.0 oz,22
Babyfood; cereal; high protein; prepared with whole milk,1.0 oz,31
Babyfood; cereal; high protein; with apple and orange; dry,1.0 tbsp,9
Babyfood; cereal; high protein; with apple and orange; prepared with whole milk,1.0 oz,32
Babyfood; cereal; mixed; dry,1.0 tbsp,9
Babyfood; cereal; mixed; prepared with whole milk,1.0 oz,27
Babyfood; cereal; mixed; with applesauce and bananas; junior,1.0 oz,24
Babyfood; cereal; mixed; with applesauce and bananas; strained,1.0 oz,23
Babyfood; cereal; mixed; with bananas; dry,1.0 tbsp,10
Babyfood; cereal; mixed; with bananas; prepared with whole milk,1.0 oz,24
Babyfood; cereal; mixed; with honey; prepared with whole milk,1.0 oz,33
Babyfood; cereal; oatmeal; dry,1.0 tbsp,13
Babyfood; cereal; oatmeal; prepared with whole milk,1.0 oz,33
Babyfood; cereal; oatmeal; with applesauce and bananas; junior,1.0 oz,21
Babyfood; cereal; oatmeal; with applesauce and bananas; strained,1.0 oz,21
Babyfood; cereal; oatmeal; with bananas; dry,1.0 tbsp,10
Babyfood; cereal; oatmeal; with bananas; prepared with whole milk,1.0 oz,24
Babyfood; cereal; oatmeal; with honey; dry,1.0 tbsp,9
Babyfood; cereal; oatmeal; with honey; prepared with whole milk,1.0 oz,33
Babyfood; cereal; rice with pears and apple; dry; instant,1.0 serving,58
Babyfood; cereal; rice; dry,1.0 tbsp,10
Babyfood; cereal; rice; prepared with whole milk,1.0 oz,24
