Description,Measure,Energy
KEEBLER; Vienna Fingers with Creme Filling,2.0 cookies,153
KEEBLER; Vienna Fingers with Creme Filling; Reduced Fat,2.0 cookies,144
KEEBLER; Waffle Bowls,1.0 waffle,51
KEEBLER; Waffle Cones,1.0 cone,51
KEEBLER; WHEATABLES; Honey Wheat Crackers,17.0 crackers,145
KEEBLER; WHEATABLES; Nut Crisp Crackers; Roasted Almond,16.0 crackers,142
KEEBLER; WHEATABLES; Nut Crisp Crackers; Toasted Pecan,16.0 crackers,145
KEEBLER; ZESTA; Export Sodas Crackers,3.0 crackers,58
KEEBLER; ZESTA; Saltines with Whole Wheat,5.0 crackers,62
KEEBLER; ZESTA; Saltines; Original,5.0 crackers,63
Keikitos (muffins); Latino bakery item,1.0 piece,196
KELLOGG Mini-Wheats Frosted Bite Size Touch of Fruit Raisin,24.0 Biscuits (1 NLEA serving),189
KELLOGG; KELLOG'S NUTRI-GRAIN CEREAL BARS; Mixed Berry,1.0 bar (NLEA serving),429
KELLOGG; KELLOGG'S EGGO; Buttermilk Pancake,3.0 pancakes (NLEA serving),284
KELLOGG'S Eggo Lowfat Blueberry Nutri-Grain Waffles,"1.0 waffle; round (4"" dia) (include frozen)",73
KELLOGG'S; ALL-BRAN; Garlic and Herb Crackers,18.0 crackers,140
KELLOGG'S; ALL-BRAN; Multigrain Crackers,18.0 crackers,124
KELLOGG'S; BEANATURAL; Original 3-Bean Chips,12.0 chips,136
KELLOGG'S; CINNABON; Pancakes; Caramel,3.0 pancakes,268
KELLOGG'S; CINNABON; Pancakes; Original,3.0 pancakes,271
KELLOGG'S; Corn Flakes Crumbs,6.0 tbsp,121
KELLOGG'S; EGGO Minis; Pancakes; Buttermilk,11.0 pancakes,276
KELLOGG'S; EGGO Protein; Waffles; Homestyle,2.0 waffles,197
KELLOGG'S; EGGO Seasons; Waffles; Pumpkin Spice,2.0 waffles,207
KELLOGG'S; EGGO; Biscuit Scramblers; Bacon; Egg  &  Cheese,1.0 bscuit,271
KELLOGG'S; EGGO; Biscuit Scramblers; Egg  &  Cheese,1.0 bscuit,267
KELLOGG'S; EGGO; FIBERPLUS Waffles; Buttermilk,2.0 waffles,159
KELLOGG'S; EGGO; FIBERPLUS Waffles; Chocolate Chip,2.0 waffles,181
KELLOGG'S; EGGO; French Toaster Sticks; Cinnamon,2.0 pieces,225
KELLOGG'S; EGGO; French Toaster Sticks; Original,2.0 pieces,215
KELLOGG'S; EGGO; Mini Muffin Tops; Blueberry,1.0 set,135
KELLOGG'S; EGGO; Mini Muffin Tops; Chocolate Chip,1.0 set,138
KELLOGG'S; EGGO; NUTRI-GRAIN Frozen Fruit Pizza; Mixed Berry Granola,1.0 pizza,388
KELLOGG'S; EGGO; NUTRI-GRAIN Frozen Fruit Pizza; Strawberry Granola,1.0 pizza,399
KELLOGG'S; EGGO; NUTRI-GRAIN; Waffles; Blueberry,2.0 waffles,180
KELLOGG'S; EGGO; NUTRI-GRAIN; Waffles; Honey Oat,2.0 waffles,188
KELLOGG'S; EGGO; NUTRI-GRAIN; Waffles; Low Fat,2.0 waffles 1 serving,141
KELLOGG'S; EGGO; NUTRI-GRAIN; Waffles; Original,2.0 waffles,167
KELLOGG'S; EGGO; Pancakes; Blueberry,3.0 pancakes,257
KELLOGG'S; EGGO; Pancakes; Chocolate Chip,3.0 pancakes,266
KELLOGG'S; EGGO; Thick  &  Fluffy; Waffles; Brown Sugar,1.0 waffle,169
KELLOGG'S; EGGO; Thick  &  Fluffy; Waffles; Original,1.0 waffle,162
KELLOGG'S; EGGO; Wafflers; Brown Sugar Cinnamon Roll,2.0 waffles,252
KELLOGG'S; EGGO; Wafflers; Strawberry Strudel,2.0 waffles,242
KELLOGG'S; EGGO; Waffles; Blueberry,2.0 waffles,186
KELLOGG'S; EGGO; Waffles; Buttermilk,2.0 waffles,195
KELLOGG'S; EGGO; Waffles; Chocolate Chip,2.0 waffles,204
KELLOGG'S; EGGO; Waffles; Cinnamon Toast,3.0 sets,299
KELLOGG'S; EGGO; Waffles; French Toast,1.0 waffle,137
KELLOGG'S; EGGO; Waffles; Homestyle,2.0 waffles,195
KELLOGG'S; EGGO; Waffles; Homestyle; Low Fat,2.0 waffles 1 serving,160
KELLOGG'S; EGGO; Waffles; Strawberry,2.0 waffles,186
KELLOGG'S; POP-TARTS MINI CRISPS; Cinnamon Brown Sugar Baked Bites,1.0 pouch,100
KELLOGG'S; POP-TARTS MINI CRISPS; Frosted Chocolate Baked Bites,1.0 pouch,101
KELLOGG'S; POP-TARTS MINI CRISPS; Frosted Strawberry Baked Bites,1.0 pouch,44
KELLOGG'S; POP-TARTS; Chocolate Chip Cookie Dough Toaster Pastries,1.0 pastry,194
KELLOGG'S; POP-TARTS; Frosted Apple Strudel Toaster Pastries,1.0 pastry,198
KELLOGG'S; POP-TARTS; Frosted Blueberry Muffin Toaster Pastries,1.0 pastry,198
KELLOGG'S; POP-TARTS; Frosted Cinnamon Roll Toaster Pastries,1.0 pastry,208
KELLOGG'S; POP-TARTS; Frosted Confetti Cake Toaster Pastries,1.0 pastry,188
KELLOGG'S; POP-TARTS; Frosted Cookies  &  Creme Toaster Pastries,1.0 pastry,190
KELLOGG'S; POP-TARTS; Frosted Orange Cream Toaster Pastries,1.0 pastry,200
KELLOGG'S; POP-TARTS; Frosted Pumpkin Pie Toaster Pastries,1.0 pastry,197
KELLOGG'S; POP-TARTS; Frosted Spring Berry Toaster Pastries,1.0 pastry,203
KELLOGG'S; POP-TARTS; Frosted Sugar Cookie Toaster Pastries,1.0 pastry,196
KELLOGG'S; POP-TARTS; Frosted Waffle Cone Toaster Pastries,1.0 pastry,186
KELLOGG'S; POP-TARTS; Frosted Wild Fruit Fusion Toaster Pastries,1.0 pastry,196
KELLOGG'S; POP-TARTS; Frosted Wild Grape Toaster Pastries,1.0 pastry,195
KELLOGG'S; POP-TARTS; Frosted Wild Strawberry Toaster Pastries,1.0 pastry,196
KELLOGG'S; POP-TARTS; Gingerbread Toaster Pastries,1.0 pastry,196
KELLOGG'S; POP-TARTS; Ice Cream Shoppe Frosted Hot Fudge Sundae Toaster Pastries,1.0 pastry,188
KELLOGG'S; POP-TARTS; Ice Cream Shoppe Frosted Ice Creme Sandwich Toaster Pastries,1.0 pastry,187
KELLOGG'S; POP-TARTS; Ice Cream Shoppe Frosted Rainbow Chip Toaster Pastries,1.0 pastry,200
KELLOGG'S; POP-TARTS; Ice Cream Shoppe Frosted Strawberry Milkshake Toaster Pastries,1.0 pastry,191
KELLOGG'S; POP-TARTS; Ice Cream Shoppe Frosted Vanilla Milkshake Toaster Pastries,1.0 pastry,191
KELLOGG'S; POP-TARTS; Yum-azing Vanilla Milkshake Toaster Pastries,1.0 pastry,199
KELLOGG'S; SIMPLY EGGO; Original,2.0 waffles,206
KELLOGG'S; SPECIAL K; Cracker Chips; Cheddar,27.0 chips,115
KELLOGG'S; SPECIAL K; Cracker Chips; Sea Salt,30.0 chips,108
KELLOGG'S; SPECIAL K; Cracker Chips; Sour Cream  &  Onion,27.0 chips,110
KELLOGG'S; SPECIAL K; Cracker Chips; Southwest Ranch,27.0 chips,114
KELLOGG'S; SPECIAL K; Multigrain Crackers,24.0 crackers,120
KELLOGG'S; SPECIAL K; Savory Herb Crackers,24.0 crackers,122
KFC; biscuit,1.0 biscuit,175
KFC; Coleslaw,1.0 package,161
KFC; Crispy Chicken Strips,1.0 strip,129
KFC; Fried Chicken; EXTRA CRISPY; Breast; meat and skin with breading,1.0 breast; with skin,568
KFC; Fried Chicken; EXTRA CRISPY; Breast; meat only; skin and breading removed,1.0 breast; without skin,214
KFC; Fried Chicken; EXTRA CRISPY; Drumstick; meat and skin with breading,1.0 drumstick; with skin,222
KFC; Fried Chicken; EXTRA CRISPY; Drumstick; meat only; skin and breading removed,1.0 drumstick; bone and skin removed,70
KFC; Fried Chicken; EXTRA CRISPY; Thigh; meat and skin with breading,1.0 thigh; with skin,470
KFC; Fried Chicken; EXTRA CRISPY; Thigh; meat only; skin and breading removed,1.0 thigh; without skin,163
KFC; Fried Chicken; EXTRA CRISPY; Wing; meat and skin with breading,1.0 wing; with skin,229
KFC; Fried Chicken; EXTRA CRISPY; Wing; meat only; skin and breading removed,1.0 wing; without skin,104
KFC; Fried Chicken; ORIGINAL RECIPE; Breast; meat and skin with breading,1.0 breast; with skin,490
KFC; Fried Chicken; ORIGINAL RECIPE; Breast; meat only; skin and breading removed,1.0 breast without skin,226
KFC; Fried Chicken; ORIGINAL RECIPE; Drumstick; meat and skin with breading,1.0 drumstick; with skin,179
KFC; Fried Chicken; ORIGINAL RECIPE; Drumstick; meat only; skin and breading removed,1.0 drumstick; bone and skin removed,70
KFC; Fried Chicken; ORIGINAL RECIPE; Thigh; meat and skin with breading,1.0 thigh; with skin,363
KFC; Fried Chicken; ORIGINAL RECIPE; Thigh; meat only; skin and breading removed,1.0 thigh without skin,150
KFC; Fried Chicken; ORIGINAL RECIPE; Wing; meat and skin with breading,1.0 wing; with skin,178
KFC; Fried Chicken; ORIGINAL RECIPE; Wing; meat only; skin and breading removed,1.0 wing wing without skin,84
KFC; Popcorn Chicken,1.0 piece,22
Kielbasa; fully cooked; grilled,3.0 oz,286
Kielbasa; fully cooked; pan-fried,1.0 link,1232
Kielbasa; fully cooked; unheated,3.0 oz,276
Kielbasa; kolbassy; pork; beef; nonfat dry milk added,1.0 link,232
Kielbasa; Polish; turkey and beef; smoked,1.0 serving 2 oz,127
Kiwifruit; gold; raw,1.0 cup; sliced,112
Kiwifruit; green; raw,1.0 cup; sliced,110
Knackwurst; knockwurst; pork; beef,1.0 link,221
Kohlrabi; cooked; boiled; drained; with salt,1.0 cup slices,48
Kohlrabi; cooked; boiled; drained; without salt,1.0 cup slices,48
Kohlrabi; raw,1.0 cup,36
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,2.0 tbsp,29
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,2.0 tbsp,47
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,2.0 tbsp,75
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,2.0 tbsp,91
KRAFT FOODS; SHAKE 'N' BAKE ORIGINAL RECIPE; Coating for Pork; dry,1.0 serving,106
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,1.0 slice,31
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,1.0 oz,62
KRAFT VELVEETA Pasteurized Process Cheese Spread,1.0 oz,85
KRAFT; STOVE TOP Stuffing Mix Chicken Flavor,1.0 NLEA serving (makes 1/2 cup prepared),107
Kumquats; raw,1.0 fruit without refuse,13
Lamb; Australian; ground;  85% lean / 15% fat; raw,1.0 serving (4 oz),288
"Lamb; Australian; imported; fresh; composite of trimmed retail cuts; separable lean and fat; trimmed to 1/8"" fat; cooked",3.0 oz,218
"Lamb; Australian; imported; fresh; composite of trimmed retail cuts; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,65
"Lamb; Australian; imported; fresh; composite of trimmed retail cuts; separable lean only; trimmed to 1/8"" fat; cooked",3.0 oz,171
"Lamb; Australian; imported; fresh; composite of trimmed retail cuts; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,40
"Lamb; Australian; imported; fresh; foreshank; separable lean and fat; trimmed to 1/8"" fat; cooked; braised",3.0 oz,201
"Lamb; Australian; imported; fresh; foreshank; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,55
"Lamb; Australian; imported; fresh; foreshank; separable lean only; trimmed to 1/8"" fat; cooked; braised",3.0 oz,140
"Lamb; Australian; imported; fresh; foreshank; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,35
"Lamb; Australian; imported; fresh; leg; center slice; bone-in; separable lean and fat; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,183
"Lamb; Australian; imported; fresh; leg; center slice; bone-in; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,55
"Lamb; Australian; imported; fresh; leg; center slice; bone-in; separable lean only; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,156
"Lamb; Australian; imported; fresh; leg; center slice; bone-in; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,41
"Lamb; Australian; imported; fresh; leg; shank half; separable lean and fat; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,196
"Lamb; Australian; imported; fresh; leg; shank half; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,57
"Lamb; Australian; imported; fresh; leg; shank half; separable lean only; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,155
"Lamb; Australian; imported; fresh; leg; shank half; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,38
"Lamb; Australian; imported; fresh; leg; sirloin chops; boneless; separable lean and fat; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,200
"Lamb; Australian; imported; fresh; leg; sirloin chops; boneless; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,59
"Lamb; Australian; imported; fresh; leg; sirloin chops; boneless; separable lean only; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,160
"Lamb; Australian; imported; fresh; leg; sirloin chops; boneless; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,37
"Lamb; Australian; imported; fresh; leg; sirloin half; boneless; separable lean and fat; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,239
"Lamb; Australian; imported; fresh; leg; sirloin half; boneless; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,72
"Lamb; Australian; imported; fresh; leg; sirloin half; boneless; separable lean only; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,183
"Lamb; Australian; imported; fresh; leg; sirloin half; boneless; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,39
"Lamb; Australian; imported; fresh; leg; whole (shank and sirloin); separable lean and fat; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,207
"Lamb; Australian; imported; fresh; leg; whole (shank and sirloin); separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,61
"Lamb; Australian; imported; fresh; leg; whole (shank and sirloin); separable lean only; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,162
"Lamb; Australian; imported; fresh; leg; whole (shank and sirloin); separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,38
"Lamb; Australian; imported; fresh; loin; separable lean and fat; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,186
"Lamb; Australian; imported; fresh; loin; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,58
"Lamb; Australian; imported; fresh; loin; separable lean only; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,163
"Lamb; Australian; imported; fresh; loin; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,41
"Lamb; Australian; imported; fresh; rib; separable lean and fat; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,235
"Lamb; Australian; imported; fresh; rib; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,82
"Lamb; Australian; imported; fresh; rib; separable lean only; trimmed to 1/8"" fat; cooked; roasted",3.0 oz,178
"Lamb; Australian; imported; fresh; rib; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,45
Lamb; Australian; imported; fresh; separable fat; cooked,3.0 oz,543
Lamb; Australian; imported; fresh; separable fat; raw,1.0 oz,184
"Lamb; Australian; imported; fresh; shoulder ;blade; separable lean only; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,196
"Lamb; Australian; imported; fresh; shoulder; arm; separable lean and fat; trimmed to 1/8"" fat; cooked; braised",3.0 oz,264
"Lamb; Australian; imported; fresh; shoulder; arm; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,69
"Lamb; Australian; imported; fresh; shoulder; arm; separable lean only;   trimmed to 1/8"" fat; cooked; braised",3.0 oz,202
"Lamb; Australian; imported; fresh; shoulder; arm; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,39
"Lamb; Australian; imported; fresh; shoulder; blade; separable lean and fat; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,247
"Lamb; Australian; imported; fresh; shoulder; blade; separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,74
"Lamb; Australian; imported; fresh; shoulder; blade; separable lean only; trimmed to 1/8"" fat; raw",1.0 oz,46
"Lamb; Australian; imported; fresh; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/8"" fat; cooked",3.0 oz,252
"Lamb; Australian; imported; fresh; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/8"" fat; raw",1.0 oz,73
"Lamb; Australian; imported; fresh; shoulder; whole (arm and blade); separable lean only;   trimmed to 1/8"" fat; raw",1.0 oz,44
"Lamb; Australian; imported; fresh; shoulder; whole (arm and blade); separable lean only; trimmed to 1/8"" fat; cooked",3.0 oz,198
"Lamb; domestic; composite of trimmed retail cuts; separable fat; trimmed to 1/4"" fat; choice; cooked",3.0 oz,498
"Lamb; domestic; composite of trimmed retail cuts; separable fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,189
"Lamb; domestic; composite of trimmed retail cuts; separable lean and fat; trimmed to 1/4"" fat; choice; cooked",3.0 oz,250
"Lamb; domestic; composite of trimmed retail cuts; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,76
"Lamb; domestic; composite of trimmed retail cuts; separable lean and fat; trimmed to 1/8"" fat; choice; cooked",3.0 oz,230
"Lamb; domestic; composite of trimmed retail cuts; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,69
"Lamb; domestic; composite of trimmed retail cuts; separable lean only; trimmed to 1/4"" fat; choice; cooked",3.0 oz,175
"Lamb; domestic; composite of trimmed retail cuts; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,38
"Lamb; domestic; cubed for stew or kabob (leg and shoulder); separable lean only; trimmed to 1/4"" fat; cooked; braised",3.0 oz,190
"Lamb; domestic; cubed for stew or kabob (leg and shoulder); separable lean only; trimmed to 1/4"" fat; cooked; broiled",3.0 oz,158
"Lamb; domestic; cubed for stew or kabob (leg and shoulder); separable lean only; trimmed to 1/4"" fat; raw",1.0 oz,38
"Lamb; domestic; foreshank; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; braised",1.0 piece; cooked; excluding refuse (yield from 1 lb raw meat with refuse),360
"Lamb; domestic; foreshank; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,57
"Lamb; domestic; foreshank; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,57
"Lamb; domestic; foreshank; separable lean and fat; trimmed to 1/8"" fat; cooked; braised",1.0 piece; cooked; excluding refuse (yield from 1 lb raw meat with refuse),360
"Lamb; domestic; foreshank; separable lean only; trimmed to 1/4"" fat; choice; cooked; braised",1.0 piece; cooked; excluding refuse (yield from 1 lb raw meat with refuse),239
"Lamb; domestic; foreshank; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,34
"Lamb; domestic; leg; shank half; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,191
"Lamb; domestic; leg; shank half; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,57
"Lamb; domestic; leg; shank half; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,184
"Lamb; domestic; leg; shank half; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,52
"Lamb; domestic; leg; shank half; separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,153
"Lamb; domestic; leg; shank half; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,35
"Lamb; domestic; leg; sirloin half; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,248
"Lamb; domestic; leg; sirloin half; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,77
"Lamb; domestic; leg; sirloin half; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,241
"Lamb; domestic; leg; sirloin half; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,74
"Lamb; domestic; leg; sirloin half; separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,173
"Lamb; domestic; leg; sirloin half; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,38
"Lamb; domestic; leg; whole (shank and sirloin); separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,219
"Lamb; domestic; leg; whole (shank and sirloin); separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,65
"Lamb; domestic; leg; whole (shank and sirloin); separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,206
"Lamb; domestic; leg; whole (shank and sirloin); separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,59
"Lamb; domestic; leg; whole (shank and sirloin); separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,162
"Lamb; domestic; leg; whole (shank and sirloin); separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,36
"Lamb; domestic; loin; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,269
"Lamb; domestic; loin; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,263
"Lamb; domestic; loin; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,88
"Lamb; domestic; loin; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; broiled",3.0 oz,252
"Lamb; domestic; loin; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,246
"Lamb; domestic; loin; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,79
"Lamb; domestic; loin; separable lean only; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,184
"Lamb; domestic; loin; separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,172
"Lamb; domestic; loin; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,41
"Lamb; domestic; rib; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,307
"Lamb; domestic; rib; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,305
"Lamb; domestic; rib; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,105
"Lamb; domestic; rib; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; broiled",3.0 oz,289
"Lamb; domestic; rib; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,290
"Lamb; domestic; rib; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,97
"Lamb; domestic; rib; separable lean only; trimmed to 1/4"" fat; choice; cooked; broiled",1.0 piece; cooked; excluding refuse (yield from 1 lb raw meat with refuse),345
"Lamb; domestic; rib; separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,197
"Lamb; domestic; rib; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,48
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; braised",3.0 oz,294
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,239
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,237
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,74
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; braised",3.0 oz,286
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,69
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/8"" fat; choice; roasted",3.0 oz,227
"Lamb; domestic; shoulder; arm; separable lean and fat; trimmed to 1/8"" fat; cooked; broiled",3.0 oz,229
"Lamb; domestic; shoulder; arm; separable lean only; trimmed to 1/4"" fat; choice; cooked; braised",3.0 oz,237
"Lamb; domestic; shoulder; arm; separable lean only; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,170
"Lamb; domestic; shoulder; arm; separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,163
"Lamb; domestic; shoulder; arm; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,37
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; braised",3.0 oz,293
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,236
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,239
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,73
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; braised",3.0 oz,288
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; broiled",3.0 oz,227
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,230
"Lamb; domestic; shoulder; blade; separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,69
"Lamb; domestic; shoulder; blade; separable lean only; trimmed to 1/4"" fat; choice; cooked; braised",3.0 oz,245
"Lamb; domestic; shoulder; blade; separable lean only; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,179
"Lamb; domestic; shoulder; blade; separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,178
"Lamb; domestic; shoulder; blade; separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,43
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/4"" fat; choice; cooked; braised",3.0 oz,292
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,236
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,235
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/4"" fat; choice; raw",1.0 oz,75
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/8"" fat; choice; cooked; braised",3.0 oz,287
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/8"" fat; choice; cooked; broiled",3.0 oz,228
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/8"" fat; choice; cooked; roasted",3.0 oz,229
"Lamb; domestic; shoulder; whole (arm and blade); separable lean and fat; trimmed to 1/8"" fat; choice; raw",1.0 oz,69
"Lamb; domestic; shoulder; whole (arm and blade); separable lean only; trimmed to 1/4"" fat; choice; cooked; braised",3.0 oz,241
"Lamb; domestic; shoulder; whole (arm and blade); separable lean only; trimmed to 1/4"" fat; choice; cooked; broiled",3.0 oz,178
"Lamb; domestic; shoulder; whole (arm and blade); separable lean only; trimmed to 1/4"" fat; choice; cooked; roasted",3.0 oz,173
"Lamb; domestic; shoulder; whole (arm and blade); separable lean only; trimmed to 1/4"" fat; choice; raw",1.0 oz,41
Lamb; ground; cooked; broiled,3.0 oz,241
Lamb; ground; raw,1.0 oz,80
Lamb; New Zealand; imported; brains; cooked; soaked and fried,3.0 oz,131
Lamb; New Zealand; imported; brains; raw,4.0 oz,133
Lamb; New Zealand; imported; breast; separable lean only; cooked; braised,3.0 oz,230
Lamb; New Zealand; imported; breast; separable lean only; raw,4.0 oz,168
Lamb; New Zealand; imported; chump; boneless; separable lean only; cooked; fast roasted,3.0 oz,121
Lamb; New Zealand; imported; chump; boneless; separable lean only; raw,4.0 oz,137
